rank,player_id,player_name,highest_paying_game,total_overall_usd,total_in_game_usd,percent_of_total
1,N0tail,Johan Sundstein,Dota 2,7184163.05,7172436.83,99.84
2,JerAx,Jesse Vainikka,Dota 2,6486623.98,6486075.22,99.99000000000001
3,Miposhka,Yaroslav Naidenov,Dota 2,6227771.49,6227771.49,100
4,ana,Anathan Pham,Dota 2,6024411.96,6024411.96,100
5,Ceb,SÃ©bastien Debs,Dota 2,5949442.73,5949442.73,100
6,Collapse,Magomed Khalilov,Dota 2,5940111.07,5940111.07,100
7,Yatoro,Ilya Mulyarchuk,Dota 2,5932736.05,5932736.05,100
8,Topson,Topias Taavitsainen,Dota 2,5898810.6,5898810.6,100
9,Mira,Miroslaw Kolpakov,Dota 2,5638899.05,5638899.05,100
10,KuroKy,Kuro Takhasomi,Dota 2,5295698.85,5293199.59,99.95
11,Miracle-,Amer Al-Barkawi,Dota 2,4913585.26,4913585.26,100
12,Matumbaman,Lasse Urpalainen,Dota 2,4873086.24,4873086.24,100
13,MinD_ContRoL,Ivan Ivanov,Dota 2,4704032.25,4704032.25,100
14,TORONTOTOKYO,Alexander Khertek,Dota 2,4539863.5,4539863.5,100
15,GH,Maroun Merhej,Dota 2,4359887.6,4359887.6,100
16,Puppey,Clement Ivanov,Dota 2,4345228.38,4343494.79,99.96000000000001
17,Ame,"Wang, Chunyu",Dota 2,4303979.2700000005,4303979.2700000005,100
18,Zai,Ludwig WÃ¥hlberg,Dota 2,4292756.02,4272661.31,99.53
19,SumaiL,Sumail Hassan,Dota 2,4137055.98,4137055.98,100
20,y`,"Zhang, Yiping",Dota 2,4048742.2,4048742.2,100
21,Faith_bian,"Zhang, Ruida",Dota 2,3958981.98,3958981.98,100
22,Nisha,MichaÅ Jankowski,Dota 2,3799426.48,3799426.48,100
23,Bugha,Kyle Giersdorf,Fortnite,3784225.05,3771558.38,99.66999999999999
24,Saksa,Martin Sazdov,Dota 2,3659111.18,3659111.18,100
25,33,Neta Shapira,Dota 2,3413479.03,3413479.03,100
26,Cr1t,Andreas Nielsen,Dota 2,3351429.18,3351429.18,100
27,Somnus,"Lu, Yao",Dota 2,3311808.66,3311808.66,100
28,Sneyking,"Wu, Jingjun",Dota 2,3306529.59,3305529.59,99.97
29,fy,"Xu, Linsen",Dota 2,3159545.98,3159545.98,100
30,UNiVeRsE,Saahil Arora,Dota 2,3057237.67,3057237.67,100
31,ppd,Peter Dager,Dota 2,3029331.36,3001619.62,99.09
32,Skiter,Oliver Lepko,Dota 2,2955493.15,2955493.15,100
33,Fly,Tal Aizik,Dota 2,2886903.3899999997,2869488.4899999998,99.4
34,s4,Gustav Magnusson,Dota 2,2749194.7,2744135.9299999997,99.82
