Â,Player ID,Player Name,Total (Overall),Highest Paying Game,Total (Game),% of Total,source_url
1,N0tail,Johan Sundstein,"$7,184,163.05",Dota 2,"$7,172,436.83",99.84%,https://www.esportsearnings.com/players/highest-earnings
2,JerAx,Jesse Vainikka,"$6,486,623.98",Dota 2,"$6,486,075.22",99.99%,https://www.esportsearnings.com/players/highest-earnings
3,Miposhka,Yaroslav Naidenov,"$6,227,771.49",Dota 2,"$6,227,771.49",100.00%,https://www.esportsearnings.com/players/highest-earnings
4,ana,Anathan Pham,"$6,024,411.96",Dota 2,"$6,024,411.96",100.00%,https://www.esportsearnings.com/players/highest-earnings
5,Ceb,SÃ©bastien Debs,"$5,949,442.73",Dota 2,"$5,949,442.73",100.00%,https://www.esportsearnings.com/players/highest-earnings
6,Yatoro,Ilya Mulyarchuk,"$5,932,736.05",Dota 2,"$5,932,736.05",100.00%,https://www.esportsearnings.com/players/highest-earnings
7,Collapse,Magomed Khalilov,"$5,928,111.07",Dota 2,"$5,928,111.07",100.00%,https://www.esportsearnings.com/players/highest-earnings
8,Topson,Topias Taavitsainen,"$5,898,810.60",Dota 2,"$5,898,810.60",100.00%,https://www.esportsearnings.com/players/highest-earnings
9,Mira,Miroslaw Kolpakov,"$5,638,899.05",Dota 2,"$5,638,899.05",100.00%,https://www.esportsearnings.com/players/highest-earnings
10,KuroKy,Kuro Takhasomi,"$5,295,698.85",Dota 2,"$5,293,199.59",99.95%,https://www.esportsearnings.com/players/highest-earnings
11,Miracle-,Amer Al-Barkawi,"$4,913,585.26",Dota 2,"$4,913,585.26",100.00%,https://www.esportsearnings.com/players/highest-earnings
12,Matumbaman,Lasse Urpalainen,"$4,873,086.24",Dota 2,"$4,873,086.24",100.00%,https://www.esportsearnings.com/players/highest-earnings
13,MinD_ContRoL,Ivan Ivanov,"$4,704,032.25",Dota 2,"$4,704,032.25",100.00%,https://www.esportsearnings.com/players/highest-earnings
14,TORONTOTOKYO,Alexander Khertek,"$4,539,863.50",Dota 2,"$4,539,863.50",100.00%,https://www.esportsearnings.com/players/highest-earnings
15,GH,Maroun Merhej,"$4,359,887.60",Dota 2,"$4,359,887.60",100.00%,https://www.esportsearnings.com/players/highest-earnings
16,Puppey,Clement Ivanov,"$4,345,228.38",Dota 2,"$4,343,494.79",99.96%,https://www.esportsearnings.com/players/highest-earnings
17,Ame,"Wang, Chunyu","$4,303,979.27",Dota 2,"$4,303,979.27",100.00%,https://www.esportsearnings.com/players/highest-earnings
18,Zai,Ludwig WÃ¥hlberg,"$4,292,756.02",Dota 2,"$4,272,661.31",99.53%,https://www.esportsearnings.com/players/highest-earnings
19,SumaiL,Sumail Hassan,"$4,137,055.98",Dota 2,"$4,137,055.98",100.00%,https://www.esportsearnings.com/players/highest-earnings
20,y`,"Zhang, Yiping","$4,048,742.20",Dota 2,"$4,048,742.20",100.00%,https://www.esportsearnings.com/players/highest-earnings
21,Faith_bian,"Zhang, Ruida","$3,958,981.98",Dota 2,"$3,958,981.98",100.00%,https://www.esportsearnings.com/players/highest-earnings
22,Nisha,MichaÅ Jankowski,"$3,791,426.48",Dota 2,"$3,791,426.48",100.00%,https://www.esportsearnings.com/players/highest-earnings
23,Bugha,Kyle Giersdorf,"$3,784,225.05",Fortnite,"$3,771,558.38",99.67%,https://www.esportsearnings.com/players/highest-earnings
24,Saksa,Martin Sazdov,"$3,659,111.18",Dota 2,"$3,659,111.18",100.00%,https://www.esportsearnings.com/players/highest-earnings
25,33,Neta Shapira,"$3,413,479.03",Dota 2,"$3,413,479.03",100.00%,https://www.esportsearnings.com/players/highest-earnings
26,Cr1t,Andreas Nielsen,"$3,351,429.18",Dota 2,"$3,351,429.18",100.00%,https://www.esportsearnings.com/players/highest-earnings
27,Somnus,"Lu, Yao","$3,311,808.66",Dota 2,"$3,311,808.66",100.00%,https://www.esportsearnings.com/players/highest-earnings
